DS,COUNT,QUANTITY,BID,ASK,QUANTITY,COUNT,CS
ASX,"1,114",38.6700,38.6800,"1,4458",160,MIX,
MIX,203,"18,685",38.6600,38.6900,"5,580",184,MIX
MIX,173,"14,368 ",38.6500,38.7000,"12,570",174,MIX
MIX,145,"13,386",38.6400,38.7100,"5,866",112,MIX
MIX,"5,115",38.6300,38.7200,"9,069",146,MIX,
MIX,83,"7,606",38.6200,38.7300,"11,547",151,MIX
MIX,105,"16,681",38.6100,38.7400,"12,022",211,MIX
MIX,"6,127",38.6000,38.7500,"18,212",204,MIX,
MIX,"3,777",38.5900,38.7600,"8,483",MIX,,
MIX,98,"6,405",38.5800,38.7700,"5,526",ASX,
"93,264","90,333",,,,,,
